bin,count,z_pipim,z_pipim_err,phperp_pipim,phperp_pipim_err,mass_pipim,mass_pipim_err,x,x_err,Q2,Q2_err
0,5438,0.451478,0.14306,0.495685,0.242104,0.78449,0.294528,0.108335,0.0119668,1.54095,0.162722
1,5450,0.483028,0.127754,0.426546,0.215565,0.681686,0.256502,0.163608,0.0330917,1.6986,0.128523
2,5400,0.459711,0.142105,0.497987,0.237695,0.763785,0.294219,0.148942,0.0127022,2.06853,0.125482
3,5320,0.487891,0.122882,0.40546,0.19961,0.639243,0.24022,0.212953,0.0356967,2.11812,0.124711
4,5369,0.463268,0.142096,0.503964,0.234219,0.747728,0.289954,0.182349,0.015263,2.5588,0.168263
5,5401,0.486089,0.123155,0.391845,0.199147,0.622523,0.233622,0.257886,0.0414271,2.64693,0.18068
6,5434,0.474851,0.138305,0.468065,0.223094,0.713795,0.274281,0.253347,0.0291113,3.39963,0.367122
7,5373,0.477426,0.117137,0.375153,0.193638,0.573795,0.211783,0.38134,0.0657048,4.31382,0.995483
